id_ruelle,arrondissement,limite_1,limite_2,longueur_m,largeur_m,type_surface,amenagement_vert,condition_surface,condition_drainage,cote_globale,commentaires
104003064,Plateau - Mont-Royal,rue Marie-Anne Est,rue Cérat,109,2.6,Béton,0,Bon,Très bon,2.5,
104006791,Ville-Marie,Rue Papineau,rue De Champlain,46,5.7,Asphalte,0,Très bon,Très bon,1.5,
104005484,Verdun,rue Egan,rue Woodland,42,4.3,Asphalte,0,Très bon,Très bon,1.5,
104005322,Verdun,rue Osborne,rue Egan,28,4.2,Asphalte,0,Bon,Très bon,2,
104002818,Plateau - Mont-Royal,avenue des Pins Est,rue Prince-Arthur Est,44,3,Asphalte,0,Passable,Bon,3,Revêtement mixte asphalte et pavé
104003045,Plateau - Mont-Royal,rue Cérat,avenue du Mont-Royal Est,86,2.8,Béton,0,Bon,Très bon,2,
104003216,Plateau - Mont-Royal,rue Prince-Arthur Ouest,avenue Tara Hall,166,4.7,Asphalte,0,Bon,Bon,2,
104006513,Ville-Marie,rue De La Gauchetière Est,avenue Viger Est,29,3.2,Pavé,0,Très bon,Très bon,1.5,Revêtement mixte terre et pavé
104003036,Plateau - Mont-Royal,rue Poitevin,avenue Christophe-Colomb,46,4.7,Asphalte,0,Bon,Bon,2,Bac à fleurs au centre de la chaussée
104000996,Mercier - Hochelaga-Maisonneuve,rue Lepailleur,rue Curatteau,29,4.6,Asphalte,0,Très bon,Très bon,1.5,
104003193,Plateau - Mont-Royal,rue Prince-Arthur Ouest,rue Guilbault Ouest,176,4,Asphalte,0,Bon,Très bon,2,
104003277,Plateau - Mont-Royal,rue La Mennais,rue Généreux,235,5.7,Asphalte,0,Bon,Bon,2.5,
104002947,Plateau - Mont-Royal,rue Garnier,rue De Lanaudière,33,5.5,Asphalte,0,Bon,Très bon,1.5,
104002558,Plateau - Mont-Royal,avenue Tara Hall,rue Milton,20,3.5,Asphalte,0,Bon,Très bon,2,
200400769,Verdun,2e avenue,3e avenue,26,4.2,Asphalte,0,Très bon,Très bon,0.5,
200400770,Verdun,3e avenue,2e avenue,27,3.1,Béton,0,Très bon,Très bon,1.5,
200400771,Verdun,3e avenue,4e avenue,26,4.5,Asphalte,0,Très bon,Très bon,0.5,
200400773,Verdun,3e avenue,2e avenue,26,3.8,Asphalte,0,Très bon,Très bon,0.5,
200400781,Verdun,3e avenue,4e avenue,52,4.5,Asphalte,0,Très bon,Très bon,1.5,
200400782,Verdun,3e avenue,4e avenue,33,3.6,Asphalte,0,Très bon,Très bon,0.5,
200400783,Verdun,2e avenue,3e avenue,26,3.6,Asphalte,0,Très bon,Très bon,1.5,
104006805,Ville-Marie,rue Sainte-Élisabeth,avenue de l'Hôtel-de-Ville,50,5.6,Béton,0,Très bon,Très bon,1.5,
104005485,Verdun,rue Godin,avenue Brown,32,5.7,Asphalte,0,Très bon,Très bon,0.5,
