"Id_Intersection","Date","Longitude","Latitude","Intersection_1","Intersection_2","Autos","Bus","Camions","Camions articules","Camions legers","Camions Lourds","Camions porteurs","Motos","Pietons","Tous","Velos"
1,2018-02-14,-73.575661,45.48265,"Charlevoix","Notre-Dame",10037,136,398,0,0,0,0,0,2524,0,7
2,2018-04-18,-73.579486,45.503355,"Docteur-Penfield","Peel",11296,115,0,0,0,183,0,0,3715,0,9
4,2021-08-31,-73.647837,45.471639,"Cavendish","Côte-Saint-Luc",29138,585,0,0,0,620,0,0,1617,0,56
4,2021-09-01,-73.647837,45.471639,"Cavendish","Côte-Saint-Luc",30246,597,0,0,0,627,0,0,1543,0,51
4,2021-09-02,-73.647837,45.471639,"Cavendish","Côte-Saint-Luc",30053,602,0,0,0,587,0,0,1436,0,52
5,2019-11-19,-73.641888,45.469307,"Cavendish","Fielding",14549,605,0,0,0,334,0,0,2094,0,6
5,2019-11-20,-73.641888,45.469307,"Cavendish","Fielding",14913,593,0,0,0,342,0,0,2151,0,8
5,2019-11-21,-73.641888,45.469307,"Cavendish","Fielding",15049,586,0,0,0,331,0,0,2100,0,11
20,2018-02-01,-73.628718,45.474057,"Draper","Terrebonne",3401,7,47,0,0,0,0,0,887,0,8
21,2019-02-20,-73.639114,45.473778,"Fielding","Grand Boulevard",5834,331,0,0,0,60,0,0,701,0,1
22,2019-02-20,-73.628642,45.469193,"Grand Boulevard","Monkland",5447,189,0,0,0,58,0,0,1277,0,1
23,2019-02-20,-73.634568,45.471784,"Grand Boulevard","Somerled",5557,197,0,0,0,48,0,0,1220,0,3
23,2019-05-28,-73.634568,45.471784,"Grand Boulevard","Somerled",11477,372,0,0,0,184,0,0,2250,0,80
23,2019-05-29,-73.634568,45.471784,"Grand Boulevard","Somerled",11824,367,0,0,0,220,0,0,2611,0,155
23,2019-05-30,-73.634568,45.471784,"Grand Boulevard","Somerled",12804,388,0,0,0,206,0,0,2641,0,189
24,2019-02-20,-73.63175,45.470536,"Grand Boulevard","Terrebonne",4634,154,0,0,0,41,0,0,761,0,1
25,2019-03-27,-73.626207,45.471874,"Monkland","Royal",5024,187,0,0,0,65,0,0,2678,0,5
26,2019-03-27,-73.624329,45.473905,"Monkland","Wilson",4938,179,0,0,0,77,0,0,3427,0,8
30,2019-10-10,-73.615709,45.464284,"Beaconsfield","Saint-Jacques",9160,208,0,0,0,337,0,0,625,0,36
32,2019-05-28,-73.614244,45.475206,"Botrel","Côte-Saint-Antoine",9546,108,0,0,0,172,0,0,911,0,26
32,2019-05-29,-73.614244,45.475206,"Botrel","Côte-Saint-Antoine",9737,102,0,0,0,179,0,0,1246,0,48
32,2019-05-30,-73.614244,45.475206,"Botrel","Côte-Saint-Antoine",10109,103,0,0,0,193,0,0,1195,0,27
33,2017-06-21,-73.616291,45.476146,"Botrel","Notre-Dame-de-Grâce",3725,54,50,0,0,0,0,0,1148,0,107
35,2017-11-30,-73.624211,45.461489,"Cavendish","Saint-Jacques",16360,334,512,0,0,0,0,0,453,0,12
36,2018-08-07,-73.62897,45.463725,"Cavendish","Sherbrooke",29901,707,0,0,0,957,0,0,7183,0,90
36,2018-08-08,-73.62897,45.463725,"Cavendish","Sherbrooke",29608,726,0,0,0,968,0,0,7153,0,120
36,2018-08-09,-73.62897,45.463725,"Cavendish","Sherbrooke",31013,734,0,0,0,982,0,0,6955,0,101
36,2019-10-16,-73.62897,45.463725,"Cavendish","Sherbrooke",26915,901,0,0,0,803,0,0,6562,0,76
36,2019-10-17,-73.62897,45.463725,"Cavendish","Sherbrooke",26832,870,0,0,0,713,0,0,4429,0,21
36,2019-10-18,-73.62897,45.463725,"Cavendish","Sherbrooke",28412,868,0,0,0,759,0,0,6466,0,85
36,2019-10-19,-73.62897,45.463725,"Cavendish","Sherbrooke",27311,511,0,0,0,316,0,0,5810,0,108
36,2019-10-20,-73.62897,45.463725,"Cavendish","Sherbrooke",23449,419,0,0,0,138,0,0,5266,0,92
36,2019-10-21,-73.62897,45.463725,"Cavendish","Sherbrooke",24235,805,0,0,0,701,0,0,6858,0,96
36,2019-10-22,-73.62897,45.463725,"Cavendish","Sherbrooke",25889,930,0,0,0,757,0,0,6101,0,93
36,2021-08-31,-73.62897,45.463725,"Cavendish","Sherbrooke",30613,931,0,0,0,787,0,0,4944,0,173
36,2021-09-01,-73.62897,45.463725,"Cavendish","Sherbrooke",30890,902,0,0,0,758,0,0,5060,0,168
36,2021-09-02,-73.62897,45.463725,"Cavendish","Sherbrooke",31164,966,0,0,0,831,0,0,4686,0,176
41,2017-06-21,-73.616402,45.472804,"Côte-Saint-Antoine","Marcil",3298,24,55,0,0,0,0,0,1773,0,147
47,2018-11-26,-73.608829,45.474311,"Décarie","Sherbrooke",28316,1132,0,0,0,864,0,0,6258,0,18
47,2018-11-27,-73.608829,45.474311,"Décarie","Sherbrooke",26550,1065,0,0,0,904,0,0,5717,0,11
47,2018-11-28,-73.608829,45.474311,"Décarie","Sherbrooke",29343,1103,0,0,0,837,0,0,6691,0,19
47,2018-11-29,-73.608829,45.474311,"Décarie","Sherbrooke",30669,1125,0,0,0,979,0,0,7128,0,17
47,2018-11-30,-73.608829,45.474311,"Décarie","Sherbrooke",30914,1110,0,0,0,929,0,0,7440,0,20
47,2018-12-01,-73.608829,45.474311,"Décarie","Sherbrooke",35134,711,0,0,0,487,0,0,6953,0,14
47,2018-12-02,-73.608829,45.474311,"Décarie","Sherbrooke",30453,650,0,0,0,292,0,0,4572,0,15
49,2018-07-12,-73.637226,45.45339,"Elmhurst","Saint-Jacques",14530,321,0,0,0,524,0,0,746,0,23
49,2018-07-13,-73.637226,45.45339,"Elmhurst","Saint-Jacques",14839,307,0,0,0,428,0,0,713,0,19
49,2018-07-14,-73.637226,45.45339,"Elmhurst","Saint-Jacques",12665,226,0,0,0,197,0,0,555,0,23
49,2018-07-15,-73.637226,45.45339,"Elmhurst","Saint-Jacques",11113,190,0,0,0,88,0,0,541,0,19
49,2018-07-16,-73.637226,45.45339,"Elmhurst","Saint-Jacques",13070,300,0,0,0,426,0,0,728,0,25
49,2018-07-17,-73.637226,45.45339,"Elmhurst","Saint-Jacques",13336,326,0,0,0,422,0,0,720,0,7
49,2018-11-28,-73.637226,45.45339,"Elmhurst","Saint-Jacques",13819,416,0,0,0,466,0,0,668,0,0
49,2019-08-27,-73.637226,45.45339,"Elmhurst","Saint-Jacques",13412,361,0,0,0,416,0,0,858,0,49
49,2019-08-28,-73.637226,45.45339,"Elmhurst","Saint-Jacques",13433,406,0,0,0,361,0,0,679,0,15
49,2019-08-29,-73.637226,45.45339,"Elmhurst","Saint-Jacques",14368,407,0,0,0,411,0,0,924,0,36
50,2020-12-16,-73.621674,45.476869,"Girouard","Monkland",5996,312,0,5,0,0,105,0,2875,0,46
51,2018-06-27,-73.617401,45.474947,"Girouard","Notre-Dame-de-Grâce",6985,116,0,0,0,181,0,0,1014,0,679
52,2021-07-07,-73.604396,45.469104,"Girouard","Saint-Jacques",7636,39,0,0,0,261,0,0,230,0,86
55,2017-06-21,-73.624453,45.467122,"Grand Boulevard","Notre-Dame-de-Grâce",1935,28,37,0,0,0,0,0,545,0,276
57,2019-10-10,-73.618605,45.463088,"Madison","Saint-Jacques",9052,204,0,0,0,372,0,0,353,0,23
61,2017-06-21,-73.611675,45.46741,"Melrose","Upper Lachine",4690,167,141,0,0,0,0,0,864,0,70
61,2019-06-05,-73.611675,45.46741,"Melrose","Upper Lachine",5044,174,0,0,0,156,0,0,1057,0,92
63,2017-10-25,-73.625724,45.452562,"Angrignon","Notre-Dame",38284,331,0,0,2565,1156,0,0,38,0,2
63,2017-10-26,-73.625724,45.452562,"Angrignon","Notre-Dame",39218,356,0,0,2925,1173,0,0,10,0,2
64,2019-06-05,-73.621943,45.46991,"Notre-Dame-de-Grâce","Royal",3419,20,0,0,0,41,0,0,923,0,184
66,2017-06-21,-73.609578,45.468935,"Oxford","Upper Lachine",5395,175,140,0,0,0,0,0,1242,0,81
68,2019-10-10,-73.629076,45.457363,"Saint-Jacques","6900 Saint-Jacques",13585,232,0,0,0,440,0,0,273,0,28
69,2019-03-27,-73.634214,45.454279,"Saint-Jacques","West Broadway",7726,189,0,0,0,234,0,0,503,0,6
80,2017-11-14,-73.622386,45.491269,"Cedar Crescent","Queen-Mary",10384,274,271,0,0,0,0,0,1077,0,19
83,2019-06-05,-73.644499,45.486965,"Clanranald","Van Horne",9475,210,0,0,0,228,0,0,489,0,105
84,2019-06-05,-73.650275,45.489561,"Clanranald","Vézina",4977,32,0,0,0,143,0,0,286,0,97
85,2019-06-11,-73.633185,45.484125,"Coolbrook","Isabella",6953,35,0,0,0,135,0,0,746,0,195
86,2020-08-13,-73.629958,45.482672,"Coolbrook","Queen-Mary",5794,193,0,11,0,0,104,0,2914,0,297
100,2017-11-21,-73.652831,45.494646,"Décarie","Jean-Talon inter,Est(desJockey",41260,263,0,0,1106,242,0,0,2717,0,44
100,2017-11-22,-73.652831,45.494646,"Décarie","Jean-Talon inter,Est(desJockey",41172,282,0,0,1146,236,0,0,2516,0,33
100,2017-11-23,-73.652831,45.494646,"Décarie","Jean-Talon inter,Est(desJockey",40839,281,0,0,1133,227,0,0,2570,0,42
105,2017-11-21,-73.65586,45.495744,"Décarie","Paré inter, Ouest",29334,167,0,0,908,217,0,0,1294,0,54
105,2017-11-22,-73.65586,45.495744,"Décarie","Paré inter, Ouest",29187,166,0,0,859,221,0,0,1258,0,28
105,2017-11-23,-73.65586,45.495744,"Décarie","Paré inter, Ouest",29576,172,0,0,1074,225,0,0,1336,0,33
111,2017-11-21,-73.660695,45.498792,"Décarie","Royalmount/Savanne int, Ouest",19299,67,0,0,629,132,0,0,3597,0,90
