"Date","SeverityDeadly","SeverityLight.Injury","SeverityMaterial.High","SeverityMaterial.Low","SeveritySevere.Injury","Accident_CategoryFixed.Object","Accident_CategoryMoving.Object","Accident_CategoryNo.Collision","Auth_Speed10","Auth_Speed100","Auth_Speed20","Auth_Speed30","Auth_Speed40","Auth_Speed50","Auth_Speed60","Auth_Speed70","Auth_Speed80","Auth_Speed90","Surface_CondDry","Surface_CondHard.snow","Surface_CondIce","Surface_CondMud","Surface_CondOil","Surface_CondSand.or.gravel","Surface_CondSlush","Surface_CondSnow","Surface_CondWater.accumulation","Surface_CondWet","IlluminationDay.and.clear","IlluminationDay.and.semi.dark","IlluminationNight.and.dark","IlluminationNight.and.lighted","EnvironmentCommercial","EnvironmentForest","EnvironmentIndustrial","EnvironmentPark","EnvironmentResidential","EnvironmentRural","EnvironmentSchool.area","WeatherBlack.Ice","WeatherClear.Sky","WeatherCloudy","WeatherDrizzle","WeatherFoggy","WeatherHeavy.Rain","WeatherSnow","WeatherSnowstorms","WeatherStrong.Wind","Temp","Rel.Hum","Wind.Spd","Dew.Point.Temp","Stn_Press","Wind.Dir","weekdays","days"
2012-01-01,0,3,7,10,0,0,18,0,0,0,0,1,3,9,0,0,0,0,2,0,0,0,0,0,5,4,0,6,3,2,0,10,2,0,0,0,15,0,0,0,7,7,2,0,0,1,0,0,0.7625,89.4166666666667,4.79166666666667,-0.795833333333333,100.134166666667,19.0434782608696,1,6
2012-01-02,0,3,5,4,0,1,11,0,0,0,0,0,1,6,0,0,0,0,4,0,2,0,0,0,0,0,0,2,4,0,0,5,4,0,0,0,7,1,0,0,6,1,1,0,0,0,0,0,0.1875,63.7083333333333,8.95833333333333,-5.94583333333333,99.0225,23.3333333333333,0,0
2012-01-03,0,2,5,7,0,1,10,0,0,0,0,0,1,5,0,0,0,0,8,0,1,0,0,0,0,1,0,0,8,0,0,1,7,0,1,0,3,0,0,0,10,0,0,0,0,0,0,0,-14.4291666666667,55.6666666666667,7.70833333333333,-21.4166666666667,100.731666666667,25.625,0,1
2012-01-04,0,2,6,9,0,0,16,0,0,0,0,0,0,7,0,0,0,0,9,1,1,0,0,0,1,3,0,1,11,0,0,5,10,0,0,0,6,0,0,0,7,5,0,0,0,4,0,0,-13.4208333333333,67.8333333333333,5.29166666666667,-18.1166666666667,100.784583333333,23.4166666666667,0,2
2012-01-05,0,5,8,11,0,2,20,0,0,0,0,0,3,12,0,0,0,0,5,0,1,0,0,0,1,8,0,8,10,1,0,9,13,0,0,0,8,0,1,0,15,6,0,0,0,1,0,0,-5.82916666666667,69.2083333333333,5.41666666666667,-10.7375,100.032083333333,20.2608695652174,0,3
2012-01-06,0,1,7,8,0,2,13,0,0,0,0,1,0,6,0,0,0,0,1,1,1,0,0,0,4,5,0,2,11,1,0,2,8,0,1,0,7,0,0,0,4,5,0,0,0,6,0,0,-11.1791666666667,80.1666666666667,8.70833333333333,-13.95,99.945,4.70833333333333,0,4
2012-01-07,0,5,8,4,1,0,13,1,0,0,0,0,4,7,0,0,0,0,2,0,2,0,0,0,1,4,0,8,8,0,1,8,9,0,0,0,8,0,1,0,3,6,5,0,0,1,0,0,-4.30833333333333,88.5,5.04166666666667,-5.90833333333333,99.7716666666667,19.25,1,5
2012-01-08,0,0,6,5,0,1,10,0,0,0,0,0,5,1,0,0,0,0,1,0,2,0,0,0,0,1,0,6,2,0,0,6,2,0,0,0,9,0,0,0,6,3,0,0,0,0,0,0,-5.65833333333333,70.9166666666667,5.125,-10.0875,101.28625,24.8333333333333,1,6
2012-01-09,0,3,2,7,0,1,11,0,0,0,0,0,4,4,1,0,0,0,1,0,3,0,0,0,2,2,0,3,5,1,0,5,6,0,0,0,5,0,0,0,7,5,0,0,0,0,0,0,-3.89166666666667,73.9166666666667,5.5,-7.8875,100.989583333333,19.8181818181818,0,0
2012-01-10,0,3,5,8,0,0,13,1,1,0,0,1,2,9,0,0,0,0,8,2,0,0,0,0,0,1,0,3,8,0,0,5,5,0,0,0,8,0,1,0,11,2,0,0,0,1,0,0,-1.09583333333333,70.0416666666667,8.95833333333333,-6.00416666666667,100.103333333333,17.25,0,1
2012-01-11,0,3,5,13,0,1,17,0,0,0,0,1,1,11,0,0,0,0,9,1,0,0,0,0,0,1,0,4,9,0,0,6,4,0,3,0,10,0,1,0,7,7,0,0,0,1,0,0,-12.85,63.875,9.5,-18.2833333333333,101.148333333333,4.45833333333333,0,2
2012-01-12,0,6,7,13,0,2,23,1,0,0,0,1,5,14,0,0,0,0,1,0,1,0,0,0,3,17,0,0,17,2,0,4,11,0,0,1,11,0,1,0,1,1,0,0,0,14,6,0,-6.975,83.4583333333333,12.25,-9.31666666666667,99.9183333333333,2.875,0,3
