"Date","NB_Accidents","NB_VEH_IMPLIQUES_ACCDN","NB_MORTS","NB_BLESSES_GRAVES","NB_BLESSES_LEGERS","NB_VICTIMES_TOTAL","nb_automobile_camion_leger","nb_camionLourd_tractRoutier","nb_outil_equipement","nb_tous_autobus_minibus","nb_bicyclette","nb_cyclomoteur","nb_motocyclette","nb_taxi","nb_urgence","nb_motoneige","nb_VHR","nb_autres_types","nb_veh_non_precise","NB_DECES_PIETON","NB_BLESSES_PIETON","NB_VICTIMES_PIETON","NB_DECES_MOTO","NB_BLESSES_MOTO","NB_VICTIMES_MOTO","NB_DECES_VELO","NB_BLESSES_VELO","NB_VICTIMES_VELO","SeverityDeadly","SeverityLight Injury","SeverityMaterial High","SeverityMaterial Low","SeveritySevere Injury","as.factor(Accident_Type)31","as.factor(Accident_Type)32","as.factor(Accident_Type)33","as.factor(Accident_Type)34","as.factor(Accident_Type)35","as.factor(Accident_Type)36","as.factor(Accident_Type)37","as.factor(Accident_Type)38","as.factor(Accident_Type)39","as.factor(Accident_Type)40","as.factor(Accident_Type)41","as.factor(Accident_Type)42","as.factor(Accident_Type)43","as.factor(Accident_Type)44","as.factor(Accident_Type)45","as.factor(Accident_Type)46","as.factor(Accident_Type)47","as.factor(Accident_Type)48","as.factor(Accident_Type)49","as.factor(Accident_Type)50","as.factor(Accident_Type)51","as.factor(Accident_Type)52","as.factor(Accident_Type)53","as.factor(Accident_Type)54","as.factor(Accident_Type)55","as.factor(Accident_Type)59","as.factor(Accident_Type)71","as.factor(Accident_Type)72","as.factor(Accident_Type)73","as.factor(Accident_Type)74","as.factor(Accident_Type)75","as.factor(Accident_Type)99","Accident_CategoryFixed Object","Accident_CategoryMoving Object","Accident_CategoryNo Collision","Auth_Speed10","Auth_Speed100","Auth_Speed20","Auth_Speed30","Auth_Speed40","Auth_Speed50","Auth_Speed60","Auth_Speed70","Auth_Speed80","Auth_Speed90","Surface_CondDry","Surface_CondHard snow","Surface_CondIce","Surface_CondMud","Surface_CondOil","Surface_CondSand or gravel","Surface_CondSlush","Surface_CondSnow","Surface_CondWater accumulation","Surface_CondWet","IlluminationDay and clear","IlluminationDay and semi-dark","IlluminationNight and dark","IlluminationNight and lighted","EnvironmentCommercial","EnvironmentForest","EnvironmentIndustrial","EnvironmentPark","EnvironmentResidential","EnvironmentRural","EnvironmentSchool area","WeatherBlack Ice","WeatherClear Sky","WeatherCloudy","WeatherDrizzle","WeatherFoggy","WeatherHeavy Rain","WeatherSnow","WeatherSnowstorms","WeatherStrong Wind","Temp","Rel.Hum","Wind.Spd","Dew.Point.Temp","Stn_Press","Wind.Dir","weekdays","days","cluster_id_0","cluster_id_1","cluster_id_2","cluster_id_3","cluster_id_4","cluster_id_5"
2012-01-01,61,129,0,1,19,20,99,0,1,0,0,0,0,6,0,0,0,0,23,0,4,4,0,0,0,0,0,0,0,11,22,27,1,48,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,52,1,0,0,0,2,10,27,0,0,0,0,4,0,1,1,0,0,12,11,0,22,10,4,0,37,12,0,0,0,42,0,0,0,16,21,8,2,0,2,0,0,46.5125,5454.41666666667,292.291666666667,-48.5458333333333,6108.18416666667,1161.65217391304,61,366,6,5,17,8,5,20
2012-01-02,47,89,0,0,8,8,64,1,0,0,0,0,0,0,0,0,0,0,24,0,2,2,0,0,0,0,0,0,0,7,19,21,0,34,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,5,37,1,1,0,0,2,5,11,0,1,0,0,18,0,10,0,0,0,0,1,0,10,20,2,0,19,21,0,1,1,22,1,0,0,28,9,2,0,0,0,0,0,8.8125,2994.29166666667,421.041666666667,-279.454166666667,4654.0575,1096.66666666667,0,0,1,11,8,7,8,12
2012-01-03,68,127,0,0,12,12,88,8,0,0,0,0,0,3,2,0,0,1,25,0,5,5,0,0,0,0,0,0,0,9,25,34,0,50,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,6,54,1,0,0,0,0,8,22,1,1,0,0,42,1,7,0,0,0,0,1,0,5,32,1,2,20,33,0,5,0,23,0,0,0,50,5,0,0,0,2,0,0,-981.183333333333,3785.33333333333,524.166666666667,-1456.33333333333,6849.75333333333,1742.5,0,68,7,10,13,11,13,14
2012-01-04,75,144,0,0,8,8,100,6,1,1,0,0,0,1,3,0,0,1,31,0,1,1,0,0,0,0,0,0,0,6,30,39,0,60,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,0,1,10,19,0,0,0,0,31,1,13,0,0,0,3,10,0,8,40,3,0,23,44,0,1,0,23,0,1,1,35,12,0,0,0,18,0,0,-1006.5625,5087.5,396.875,-1358.75,7558.84375,1756.25,0,150,13,11,11,14,9,17
2012-01-05,92,177,0,1,14,15,134,2,0,1,0,0,0,0,3,0,0,2,35,0,5,5,0,0,0,0,0,0,0,12,28,51,1,72,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,1,8,79,1,2,0,0,2,9,42,1,0,0,0,15,3,8,0,0,0,3,20,0,32,45,7,1,25,43,0,2,1,36,1,1,0,52,17,0,0,0,11,0,0,-536.283333333333,6367.16666666667,498.333333333333,-987.85,9202.95166666667,1864,0,276,13,7,15,13,20,24
2012-01-06,65,122,0,0,11,11,89,3,1,0,0,0,0,2,4,0,0,0,23,0,2,2,0,0,0,0,0,0,0,10,26,29,0,47,3,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,7,51,1,0,0,0,1,3,25,1,0,0,0,3,2,5,0,0,0,11,24,0,14,39,4,0,16,37,0,4,0,21,0,0,0,17,26,0,1,0,16,0,0,-726.645833333333,5210.83333333333,566.041666666667,-906.75,6496.425,306.041666666667,0,260,7,5,16,15,6,16
2012-01-07,73,145,0,1,18,19,110,4,0,1,0,0,0,1,1,0,0,2,26,0,3,3,0,0,0,0,0,0,0,13,22,37,1,53,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,56,1,0,0,0,3,11,28,0,0,0,0,5,2,6,0,0,0,7,19,0,29,37,8,1,25,37,0,0,0,33,1,1,3,20,22,10,1,0,11,0,0,-314.508333333333,6460.5,368.041666666667,-431.308333333333,7283.33166666667,1405.25,73,365,4,7,17,18,9,18
2012-01-08,68,133,0,0,5,5,96,1,0,0,0,0,0,3,1,0,0,1,31,0,0,0,0,0,0,0,0,0,0,3,34,31,0,54,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0,2,13,19,0,0,0,0,9,2,3,0,0,0,4,9,0,28,26,4,0,23,28,0,1,0,34,1,1,0,36,15,0,0,0,2,0,0,-384.766666666667,4822.33333333333,348.5,-685.95,6887.465,1688.66666666667,68,408,7,4,23,12,11,11
2012-01-09,66,127,0,1,7,8,83,8,0,0,1,0,0,4,2,0,0,2,27,0,3,3,0,0,0,0,1,1,0,5,21,39,1,50,4,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,56,0,0,0,0,0,8,27,1,0,0,0,15,0,5,0,0,0,8,7,1,19,32,7,0,19,25,0,5,1,30,0,1,0,33,19,0,0,0,3,0,0,-256.85,4878.5,363,-520.575,6665.3125,1308,0,0,4,4,21,16,9,12
2012-01-10,80,155,0,2,14,16,112,2,1,4,1,0,0,1,4,0,0,2,28,0,5,5,0,0,0,0,1,1,0,13,24,41,2,61,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,67,2,2,0,0,4,6,35,0,0,0,0,26,3,0,1,0,0,1,11,0,24,43,4,0,23,41,0,2,0,30,1,2,1,51,12,2,0,0,2,0,0,-87.6666666666667,5603.33333333333,716.666666666667,-480.333333333333,8008.26666666667,1380,0,80,6,7,23,11,17,16
