"Cluster","NB_Obs","arrondissement_Ahuntsic - Cartierville","arrondissement_Côte-Des-Neiges - Notre-Dame-de-Grâce","arrondissement_Lachine","arrondissement_Lasalle","arrondissement_Mercier - Hochelaga-Maisonneuve","arrondissement_Montreal-Nord","arrondissement_Outremont","arrondissement_Plateau - Mont-Royal","arrondissement_Rivière-Des-Prairies - Pointe-Aux-Trembles","arrondissement_Rosemont - La Petite-Patrie","arrondissement_Saint-Laurent","arrondissement_Sud-Ouest","arrondissement_Verdun","arrondissement_Ville-Marie","arrondissement_Villeray - St-Michel - Parc-Extension","Surface_1","Surface_2","Surface_3","Surface_4","Surface_5","Drainage_1","Drainage_2","Drainage_3","Drainage_4","Drainage_5","Total_1","Total_2","Total_3","Total_4","Total_5","Surface_type_Asphalt","Surface_type_Bricks","Surface_type_Concrete","Surface_type_Paved"
1,1682,85,47,27,8,357,5,46,198,2,302,29,158,126,117,175,1159,417,97,9,0,1450,183,40,9,0,687,767,200,28,0,777,0,887,9
2,1677,65,48,28,4,359,7,37,170,2,334,17,158,121,125,202,1175,405,91,5,1,1471,144,54,7,1,713,747,191,26,0,750,1,909,9
3,1681,88,63,29,5,323,5,39,209,0,327,23,155,121,111,183,1115,447,112,7,0,1435,188,44,13,1,646,792,216,26,1,775,1,892,7
4,1653,79,56,26,7,332,6,47,180,2,343,15,144,105,108,203,1130,415,98,9,1,1410,173,60,10,0,711,712,197,31,2,746,0,899,3
5,1751,89,49,33,7,369,2,37,207,4,334,20,161,136,99,204,1204,413,124,10,0,1485,189,70,6,1,706,782,227,35,1,759,1,978,4
6,1718,79,51,24,4,370,5,37,195,2,317,16,163,126,126,203,1183,420,96,18,1,1488,163,58,9,0,726,754,203,34,1,754,2,947,8
7,1754,99,51,27,4,331,9,58,185,2,380,18,158,140,109,183,1214,433,99,8,0,1507,191,45,10,1,718,782,228,25,1,784,1,950,9
8,1826,99,52,35,13,348,4,42,196,2,373,20,180,122,118,222,1241,459,109,17,0,1560,206,52,7,1,743,796,252,35,0,792,1,1021,8
9,1636,83,54,27,7,310,9,45,165,2,354,17,144,125,92,202,1110,424,95,7,0,1388,173,64,11,0,662,729,218,27,0,728,2,897,4
10,1702,82,43,36,3,364,4,43,177,6,345,16,159,113,103,208,1225,373,96,8,0,1505,142,42,13,0,754,736,190,22,0,730,2,953,10
11,1760,85,45,35,7,372,1,47,195,2,357,21,159,116,106,212,1193,438,118,11,0,1479,206,63,12,0,700,775,242,42,1,770,2,978,7
12,1728,80,65,32,13,351,3,35,182,1,356,19,153,147,90,201,1226,401,93,8,0,1491,173,49,15,0,742,765,195,23,3,750,1,969,3
13,1679,91,68,34,5,363,3,36,184,3,317,20,157,95,119,184,1147,427,95,10,0,1427,182,63,7,0,664,773,216,24,2,732,0,939,5
14,1770,60,45,33,13,348,5,56,193,0,368,24,180,117,115,213,1221,425,109,15,0,1487,209,62,12,0,721,791,228,28,2,819,1,933,9
15,1709,88,53,28,5,360,6,46,186,2,341,19,144,128,118,185,1164,399,133,13,0,1437,212,53,7,0,676,767,234,29,3,777,0,926,3
16,1756,78,66,37,8,317,6,46,219,0,340,19,154,138,106,222,1180,468,98,10,0,1495,211,45,5,0,716,796,213,30,1,824,0,914,9
17,1763,72,58,39,7,392,8,40,182,1,336,22,176,124,110,196,1211,424,117,10,1,1525,174,51,13,0,740,772,217,33,1,787,0,965,5
18,1670,75,53,26,8,362,5,40,179,3,319,22,156,126,100,196,1144,407,103,16,0,1410,179,69,12,0,652,765,204,48,1,735,3,920,5
19,1720,82,68,21,7,378,5,27,205,1,330,17,161,130,91,197,1194,415,105,6,0,1468,197,49,5,1,696,784,209,30,1,779,1,931,4
20,1657,92,48,32,6,337,3,42,178,0,345,13,158,125,111,167,1148,413,87,9,0,1412,186,52,7,0,683,754,192,25,3,749,1,901,4
21,1745,86,47,32,8,371,8,41,194,0,333,18,166,124,100,217,1216,420,97,12,0,1500,192,48,5,0,724,788,200,30,3,758,2,969,12
22,1783,93,68,34,12,348,4,47,201,2,346,17,164,120,112,215,1230,438,107,8,0,1521,188,66,8,0,697,822,237,26,1,791,2,970,10
23,1759,74,58,34,6,369,3,49,222,1,369,18,137,124,116,179,1176,457,113,13,0,1501,197,52,9,0,688,807,221,40,3,794,1,950,10
24,1714,83,66,38,10,354,4,42,184,2,318,25,144,138,112,194,1198,405,100,11,0,1462,185,59,8,0,721,744,214,35,0,792,1,906,8
25,1726,86,58,27,4,371,5,33,198,6,343,22,135,110,137,191,1204,429,86,7,0,1476,180,54,16,0,721,762,215,27,1,771,1,941,6
26,1689,87,50,29,9,326,5,48,163,1,349,19,152,134,100,217,1157,424,102,5,1,1448,162,65,13,1,701,736,220,31,1,750,0,926,6
27,1700,84,46,33,10,350,4,30,205,2,338,20,153,120,90,215,1162,415,106,17,0,1426,212,56,6,0,699,732,236,32,1,756,0,929,8
28,1707,90,49,29,10,356,3,54,190,0,313,17,153,148,115,180,1194,401,101,11,0,1467,170,57,13,0,723,729,215,39,1,779,2,910,10
29,1700,88,59,27,10,338,11,44,201,3,331,23,154,112,113,186,1151,429,113,7,0,1458,184,48,10,0,719,725,223,32,1,768,0,921,3
30,1625,75,45,37,10,343,6,42,167,1,340,23,149,115,85,187,1113,414,93,5,0,1392,167,53,13,0,657,751,190,26,1,705,0,907,8
31,1699,100,55,30,12,382,4,32,168,4,289,16,159,141,98,209,1217,382,89,10,1,1480,160,49,10,0,693,789,180,35,2,733,1,944,10
32,1733,93,49,28,5,365,9,46,186,3,335,15,168,116,95,220,1225,391,102,15,0,1491,188,46,8,0,701,793,210,29,0,739,2,984,4
33,1840,91,47,40,18,337,7,52,208,1,373,26,149,130,131,230,1279,443,111,7,0,1585,194,55,6,0,772,808,225,35,0,842,1,979,9
34,1754,90,59,30,9,367,4,36,181,1,335,20,177,130,107,208,1222,409,113,10,0,1499,196,50,9,0,703,804,212,34,1,763,2,976,6
