"Date","Cluster","NB_Accidents","Autos","Autres","Bus","Camions","Camions.articules","Camions.legers","Camions.Lourds","Camions.porteurs","Ecoliers","Illegaux","Motos","Non.Utilise","Pietons","Tous","Velos"
"2011-01-19",2,1,7216,0,133,80,0,0,0,0,0,0,0,0,313,0,12
"2011-01-19",39,1,4945,0,126,58,0,0,0,0,0,0,0,0,269,0,9
"2011-02-17",27,1,7752,0,0,0,0,431,29,0,0,0,0,0,4,0,2
"2011-02-22",21,1,12612,0,0,0,0,261,2,0,0,0,0,0,2068,0,127
"2011-02-23",38,1,21279,0,0,0,0,526,9,0,0,0,0,0,2758,0,152
"2011-02-24",3,2,21771,0,0,0,0,722,9,0,0,0,0,0,3021,0,219
"2011-02-24",5,1,9773,0,0,0,0,411,2,0,0,0,0,0,2642,0,96
"2011-03-15",26,1,1762,0,0,0,0,82,7,0,0,0,0,0,1206,0,67
"2011-03-15",28,1,926,0,0,0,0,40,0,0,0,0,0,0,847,0,104
"2011-03-16",10,1,1379,0,0,0,0,54,7,0,0,0,0,0,955,0,39
"2011-03-30",39,1,17657,0,0,269,0,0,0,0,0,94,0,0,631,0,158
"2011-04-09",3,1,13378,0,0,0,0,255,2,0,0,0,0,0,518,0,59
"2011-04-09",14,1,14038,0,0,0,0,256,2,0,0,0,0,0,275,0,33
"2011-04-14",2,1,11910,0,0,501,0,0,0,0,0,9,0,0,1915,0,198
"2011-05-05",22,1,1669,0,0,0,0,19,1,0,0,0,0,0,809,0,185
"2011-05-31",17,1,2973,0,0,0,0,103,0,0,0,154,0,0,4211,0,942
"2011-06-01",33,1,7246,0,0,257,0,0,0,0,0,103,0,0,450,0,298
"2011-06-07",17,1,4091,0,0,142,0,0,0,0,0,105,0,0,2343,0,1210
"2011-06-07",20,1,5069,0,0,141,0,0,0,0,0,306,0,0,3769,0,1018
"2011-06-07",25,1,34087,0,331,3518,0,0,0,0,0,0,0,0,83,0,116
"2011-06-07",28,1,19268,0,449,1960,0,0,0,0,0,0,0,0,59,0,42
"2011-06-07",36,1,21163,0,335,2626,0,0,0,0,0,0,0,0,60,0,57
"2011-06-08",4,1,3909,0,0,252,0,0,0,0,0,0,0,0,2736,0,582
"2011-06-08",11,1,3048,0,0,118,0,0,0,0,0,114,0,0,2520,0,1147
"2011-06-08",19,1,19032,0,338,2882,0,0,0,0,0,0,0,0,61,0,63
"2011-06-08",33,1,4779,0,0,0,0,166,0,0,0,19,0,0,3836,0,3325
"2011-06-08",35,1,28997,0,393,3732,0,0,0,0,0,0,0,0,47,0,62
"2011-06-09",11,1,19066,0,271,2096,0,0,0,0,0,0,0,0,63,0,27
"2011-06-09",29,1,14853,0,157,1481,0,0,0,0,0,0,0,0,2,0,6
"2011-06-09",36,1,15124,0,146,1174,0,0,0,0,0,0,0,0,38,0,68
"2011-07-12",28,1,15577,0,0,1060,0,0,0,0,0,2,0,0,1153,0,149
"2011-07-12",39,1,9810,0,0,1077,0,0,0,0,0,0,0,0,4,0,0
"2011-07-13",20,1,9511,0,0,562,0,0,0,0,0,0,0,0,0,0,0
"2011-07-13",36,1,11114,186,0,450,0,0,0,0,0,0,0,0,85,0,100
"2011-09-15",3,1,5814,0,0,307,0,0,0,0,0,13,0,0,15182,0,603
"2011-09-15",12,1,9630,0,0,0,0,446,74,0,0,0,0,0,1122,0,45
"2011-09-15",23,1,6043,0,0,244,0,0,0,0,0,7,0,0,2040,0,599
"2011-09-15",32,1,4395,0,0,69,0,0,0,0,0,1,0,0,59,0,6
"2011-09-15",37,1,5183,0,0,132,0,0,0,0,0,0,0,0,82,0,5
"2011-09-16",38,1,9610,0,0,0,0,357,6,0,0,0,0,0,1329,0,136
"2011-09-17",3,1,7096,0,0,65,0,0,0,0,0,1,0,0,195,0,11
"2011-09-17",4,1,5322,0,0,116,0,0,0,0,0,0,0,0,313,0,38
"2011-09-17",7,1,5319,0,0,45,0,0,0,0,0,1,0,0,194,0,13
"2011-09-17",20,1,5371,0,0,118,0,0,0,0,0,0,0,0,240,0,27
"2011-10-11",7,1,18007,0,0,717,0,0,0,0,0,71,0,0,2475,0,3009
"2011-10-11",29,1,12338,0,0,188,0,0,0,0,0,0,0,0,1668,0,1134
"2011-10-18",6,1,8979,0,0,413,0,0,0,0,0,1,0,0,3771,0,352
"2011-10-27",3,1,10696,0,0,977,0,0,0,0,0,1,0,0,253,0,95
"2011-10-27",9,1,9425,0,0,729,0,0,0,0,0,0,0,0,57,0,39
"2011-10-27",10,1,9522,0,0,1085,0,0,0,0,0,3,0,0,122,0,94
"2011-10-27",26,1,9565,0,0,0,0,0,0,0,0,3,0,0,73,0,67
"2011-10-27",29,1,7397,0,0,595,0,0,0,0,0,3,0,0,487,0,83
"2011-10-27",36,2,27749,0,0,2876,0,0,0,0,0,5,0,0,623,0,154
"2011-11-03",17,1,10215,0,0,281,0,0,0,0,0,38,0,0,17,0,1
"2011-11-03",39,1,11667,0,0,328,0,0,0,0,0,1,0,0,115,0,3
"2011-11-12",7,2,28714,0,0,0,0,342,1,0,0,0,0,11,1437,0,76
"2011-11-12",10,1,13957,0,0,146,0,0,0,0,0,0,0,0,596,0,24
"2011-11-15",32,1,9575,0,0,415,0,0,0,0,0,0,0,0,1497,0,194
"2011-11-16",6,1,9395,0,0,0,0,176,9,0,0,0,0,0,689,0,261
"2011-11-16",35,1,25720,0,0,0,0,718,65,0,0,0,0,0,710,0,53
"2011-11-30",15,1,4020,0,0,167,0,0,0,0,0,5,0,0,3056,0,467
"2011-11-30",25,1,4424,0,0,151,0,0,0,0,0,6,0,0,5446,0,568
"2011-11-30",31,1,9701,0,0,339,0,0,0,0,0,0,0,0,3476,0,494
"2011-12-03",11,1,17940,0,0,0,0,233,1,0,0,0,0,0,3124,0,5
"2012-01-19",17,1,8678,4,0,465,0,0,0,0,0,0,0,0,156,0,4
"2012-01-24",6,1,11532,470,0,175,0,0,0,0,0,0,0,2,1769,0,72
"2012-01-26",16,1,4904,0,0,0,0,144,3,0,0,0,0,0,754,0,63
"2012-01-26",31,1,15068,4,0,1110,0,0,0,0,0,0,0,0,799,0,19
"2012-01-31",33,1,9309,0,0,534,0,0,0,0,0,0,0,0,647,0,19
"2012-02-02",29,1,5867,0,0,455,0,0,0,0,0,0,0,0,40,0,0
"2012-02-07",5,1,9334,0,0,365,0,0,0,0,0,0,0,1,1203,0,35
"2012-02-08",3,1,9336,2,0,127,0,0,0,0,0,0,0,0,209,0,12
"2012-02-08",18,1,5377,0,0,0,0,193,4,0,0,0,0,0,414,0,77
"2012-02-08",37,2,9592,0,0,0,0,275,18,0,0,0,0,0,2030,0,118
"2012-02-09",1,1,8547,0,0,794,0,0,0,0,0,0,0,0,51,0,24
"2012-02-15",11,1,12622,1,0,143,0,0,0,0,0,0,0,0,181,0,52
"2012-02-15",20,1,4069,0,0,0,0,91,1,0,0,0,0,0,2041,0,96
"2012-02-15",30,1,3163,0,0,0,0,67,0,0,0,0,0,0,2303,0,149
"2012-02-15",35,1,2339,0,0,0,0,63,3,0,0,0,0,0,3292,0,109
"2012-02-15",39,1,2709,0,0,0,0,66,3,0,0,0,0,0,2727,0,116
"2012-02-16",6,1,6763,3,0,138,0,0,0,0,0,0,0,0,220,0,2
"2012-02-21",26,1,7648,0,0,0,0,198,12,0,129,0,0,0,1201,0,57
"2012-02-21",35,1,6659,0,0,0,0,373,5,0,55,0,0,0,924,0,17
"2012-02-22",22,1,7576,0,0,0,0,286,8,0,255,0,0,0,1209,0,62
"2012-02-22",26,1,6611,0,0,0,0,383,2,0,126,0,0,0,1018,0,24
"2012-02-23",8,1,9054,0,0,0,0,222,11,0,7,0,0,0,265,0,24
"2012-02-28",1,1,1111,0,0,0,0,15,1,0,78,0,0,0,288,0,9
"2012-02-28",21,1,18892,0,0,0,0,642,45,0,15,0,0,0,335,0,14
"2012-02-28",40,1,1236,0,0,0,0,17,0,0,0,0,0,12,362,0,91
